ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementTitle30,Gold Chains,سلاسل ذهبية.,土豪,土豪,Goldketten,Cadenas de oro,دندون طلا,Chaînes en or,שרשראות זהב,Rantai Emas,Catene d'oro,ゴールドチェーン,금목걸이,Arany Láncok,Gouden Kettingen,Gullkjeder,Złote łańcuchy,Correntes de Ouro,Золотые цепи,Золоті ланцюги,Kultaiset Ketjut,Những dây xích vàng,Altın Zincirler
AchievementDesc30,Prestige 100 times.,حقق الهيبة 100 مرة.,归一100次。,歸一100次。,Prestige 100 mal.,Realiza 100 prestigios.,یکصد بار از اعتبار استفاده نمایید.,Effectuez 100 Prestiges,בצע יוקרה 100 פעמים.,Prestise 100 kali.,Esegui 100 prestigi.,プレステージを100回行う。,프레스티지를 100번 실행하세요.,Presztízselj 100 alkalommal.,Prestige 100 keer.,Prestisj 100 ganger.,Prestiżuj 100 razy.,Prestigie 100 vezes.,Выполните Престиж 100 раз.,Виконайте Престиж 100 разів.,Tee Prestige 100 kertaa.,Thực hiện Uy danh 100 lần.,100 defa prestij gerçekleştir.
AchievementTitle69,Auto-Prestige,هيبة تلقائية.,自动化,自動歸一大師,Auto Prestige,Auto Prestigio,اعتبار خودکار,Prestige automatique,יוקרה אוטומטית,Auto-Prestise,Prestigio Automatico,自動プレステージ,자동 프레스티지,Automata Presztízs,Auto-Prestige,Automatisk Prestisje,Auto Prestiż,Auto Prestígio,Автопрестиж,Автопрестиж,Auto Prestige,Uy danh tự động,Oto-Prestij
AchievementDesc69,Prestige 250 times.,حقق الهيبة 250 مرة.,归一250次。,歸一250次。,Prestige 250 mal.,Realiza 250 prestigios.,250 بار از اعتبار استفاده نمایید.,Effectuez 250 Prestiges.,בצע יוקרה 250 פעמים.,Prestise 250 kali.,Esegui 250 prestigi.,プレステージを250回行う。,프레스티지를 250번 실행하세요.,Presztízselj 250 alkalommal.,Prestige 250 keer.,Prestisj 250 ganger.,Prestiżuj 250 razy.,Prestigie 250 vezes.,Выполните Престиж 250 раз.,Виконайте Престиж 250 разів.,Tee prestige 250 kertaa.,Thực hiện Uy danh 250 lần.,250 defa prestij gerçekleştir.
AchievementTitle55,Reincarnation,التناسخ,投胎,輪迴轉世,Wiedergeburt,Reencarnación,تناسخ,Réincarnation,גלגול נשמות,Reinkarnasi,Reincarnazione,転生,환생,Reinkarnáció,Wedergeboorte,Reinkarnasjon,Reinkarnacja,Reincarnação,Реинкарнация,Реінкарнація,Uudelleensyntyminen,Sự đầu thai,Reenkarnasyon
AchievementDesc55,Supremacy once.,حقق سيادتك الأولى.,第一次升华。,第一次昇華。,Führe die erste Aszendenz durch.,Realiza tu primera supremacía.,یک بار از برتری استفاده کن.,Effectuez votre première Suprématie.,בצע את העליונות הראשונה שלך.,Lakukan Supremasi pertamamu.,Esegui la tua prima supremazia.,サプレマシーを1回行う。,슈프리머시를 실행하세요.,Végezd el az első felsőbbséget.,Voer je eerste Suprematie uit.,Utfør din første Supremacy.,Prestiż ma warstwy! Dokonaj pierwszej Supremacji.,Realize sua primeira Supremacia.,Выполните свое первое Превосходство.,Виконайте своє перше Панування,Tee ensimmäinen Supremacy,Thực hiện Quyền uy 1 lần.,İlk yükselişini gerçekleştir.
AchievementTitle56,The Prophet,النبي,先知,先知,Der Prophet,El Profeta,پیشگو,Le prophète,הנביא,Nabi,Il profeta,預言者,예언자,A Próféta,De profeet,Profeten,Prorok,O Profeta.,Пророк,Пророк,Profeetta,Nhà tiên tri,Kâhin
AchievementDesc56,Supremacy twice.,حقق سيادتك الثانية.,升华第二次。,第二次昇華。,Führe die zweite Aszendenz durch.,Realiza tu segunda supremacía.,دو بار از برتری استفاده کن.,Effectuez votre deuxième Suprématie.,בצע את העליונות השנייה שלך.,Lakukan Supremasi keduamu.,Esegui la seconda supremazia.,サプレマシーを2回行う。,슈프리머시를 2번 실행하세요.,Végezd el a második felsőbbséget.,Voer je tweede Suprematie uit.,Utfør din andre Supremacy.,Dokonaj drugiej Supremacji.,Realize sua segunda Supremacia.,Выполните свое второе Превосходство.,Виконайте своє друге Панування.,Tee toinen Supremacy,Thực hiện Quyền uy 2 lần.,İkinci yükselişini gerçekleştir.
AchievementTitle57,Godspeed You!,بالتوفيق لك!,神速！,神速！,Gott sei mit dir!,Godspeed You!,دست خدا به همرات!,Godspeed You!,דרך צלחה!,Tuhan Memberkatimu!,Velocità Divina!,神速！,성공적인 여행이 되길!,Jókívánság!,Veel Succes!,For hvem trenger vel bil?,Bóg zapłać,Godspeed!,Бог тебе в помощь,Бог тобі в допомогу!,Godspeed You!,Thánh là bạn!,Godspeed You!
AchievementDesc57,Supremacy 5 times.,حقق سيادتك الخامسة.,升华5次。,昇華5次。,Führe die fünfte Aszendenz durch.,Realiza 5 supremacías.,پنج بار از برتری استفاده کن.,Effectuez votre 5ème Suprématie.,בצע את העליונות החמישית שלך.,Lakukan Supremasi kelimamu.,Esegui la 5ª supremazia.,サプレマシーを5回行う。,슈프리머시를 5번 실행하세요.,Végezd el az 5. felsőbbséget.,Voer je 5e Suprematie uit.,Utfør din 5. Supremacy.,Dokonaj piątej Supremacji.,Realize sua quinta Supremacia.,Выполните свое 5-е Превосходство.,Виконайте своє 5-е Панування.,Tee viides Supremacy,Thực hiện Quyền uy 5 lần.,5. yükselişini gerçekleştir.
AchievementTitle76,Black Emperor,الإمبراطور الأسود,君临天下,君臨天下,Der dunkle Herrscher,Black Emperor,امپراتور,Black Emperor,קיסר שחור,Kaisar Hitam,Imperatore Nero,暗黒皇帝,어둠의 황제,Fekete Uralkodó,Zwarte Keizer,Den svarte keiser,Zawisza Czarny,You Black Emperor,Черный император,Чорний Імператор,Musta Keisari,Hoàng đế hắc ám,Black Emperor
AchievementDesc76,Supremacy 10 times.,حقق سيادتك العاشرة.,升华10次。,昇華10次。,Führe die zehnte Aszendenz durch.,Realiza 10 supremacías.,ده بار از برتری استفاده کن.,Effectuez votre 10ème Suprématie.,בצע את העליונות העשירית שלך.,Lakukan Supremasi ke-10-mu.,Esegui la 10ª supremazia.,サプレマシーを10回行う。,슈프리머시를 10번 실행하세요.,Végezd el a 10. felsőbbséget.,Voer je 10e Suprematie uit.,Utfør din 10. Supremacy,Dokonaj dziesiątej Supremacji.,Realize sua 10ª Supremacia.,Выполните свое 10-е Превосходство.,Виконайте своє 10-е Панування.,Tee kymmenes Supremacy,Thực hiện Quyền uy 10 lần.,10. yükselişini gerçekleştir.
AchievementTitle77,Dark Reign,عهد الظلام,黑暗帝国,暗黑主宰,Dunkle Herrschaft,Reino oscuro,حکومت ازلی,Règne Sombre,שלטון אפל,Penguasa Gelap,Regno Oscuro,闇の治世,암흑의 통치,Sötét Uralom,Donkere Macht,Mørkets herre,Mroczny reżim,Reino da Escuridão,Темное правление,Темне правління,Pimeä Valtakausi,Bóng tối thống trị,Karanlık Saltanat
AchievementDesc77,Supremacy 25 times.,حقق سيادتك 25 مرة.,升华25次。,昇華25次。,Führe die 25. Aszendenz durch,Realiza 25 supremacías.,25 بار از برتری استفاده کن.,Effectuez votre 25ème Suprématie.,בצע את העליונות ה25 שלך.,Lakukan Supremasi ke-25-mu.,Esegui la 25ª supremazia.,サプレマシーを25回行う。,슈프리머시를 25번 실행하세요.,Végezd el a 25. felsőbbséget.,Voer je 25e Suprematie uit.,Utfør din 25. Supremacy.,Dokonaj 25 Supremacji.,Realize sua vigésima quinta Supremacia.,Выполните свое 25-е Превосходство.,Виконайте своє 25-е Панування.,Tee Supremacy 25 kertaa.,Thực hiện Quyền uy 25 lần.,25. yükselişini gerçekleştir.
AchievementTitle31,Impatient,عديم الصبر,急性子,急性子,Ungeduldig,Impaciente,عجول,Impatient,חסר סבלנות,Tidak Sabaran,Impaziente,せっかち,성급,Türelmetlen,Ongeduldig,Utålmodig,Niecierpliwy,Impaciente,Нетерпеливый,Нетерплячий,Kärsimätön,Thiếu kiên nhẫn,Sabırsız
AchievementDesc31,Get your first reward.,إحصل على مكافأتك الأولى.,获得第一次奖励。,獲得第一次廣告獎勵。,Bekomme deine erste Belohnung,Obtén tu primera recompensa.,اولین پاداشتان را کسب نمایید.,Obtenez votre première récompense.,קבל את הפרס הראשון שלך.,Dapatkan hadiah pertamamu.,Ottieni il tuo primo premio.,最初の報酬を獲得する。,첫 보상을 받으세요.,Szerezd meg az első jutalmadat.,Krijg je eerste beloning.,Få din første belønning.,Zdobądź pierwszą nagrodę.,Consiga sua primeira recompensa.,Получите свою первую награду.,Отримайте свою першу нагороду.,Saa ensimmäinen palkinto.,Nhận phần thưởng đầu tiên của bạn.,İlk ödülünü kazan.
AchievementTitle32,Birthday Boy,صاحب عيد الميلاد,寿星,壽星,Geburtstagskind,Cumpleañero,جشن تولد,Jour de fête,ילד יום הולדת,Yang Berulang Tahun,Festeggiato,バースデーボーイ,생일선물,Szülinapos,Feestvarken,Bursdagsbarn,Jubilat,Aniversariante,Именинник,Іменинник,Syntymäpäiväsankari,Ngày sinh nhật,Doğum Günü Çocuğu
AchievementDesc32,Get your 5th reward.,إحصل على مكافأتك الخامسة.,获得5次奖励。,獲得5次廣告獎勵。,Bekomme deine fünfte Belohnung,Obtén tu quinta recompensa.,پنجمین پاداشتان را کسب نمایید.,Obtenez votre 5ème récompense.,קבל את הפרס החמישי שלך.,Dapatkan hadiah kelimamu.,Ottieni il tuo 5° premio.,報酬を5回獲得する。,보상을 5회 받으세요.,Szerezd meg az 5. jutalmadat.,Krijg je 5de beloning.,Få din femte belønning.,Zdobądź piątą nagrodę.,Consiga sua quinta recompensa.,Получите 5-ю награду.,Отримайте 5-ту нагороду.,Saa 5. palkinto.,Nhận phần thưởng thứ 5 của bạn.,5. ödülünü kazan.
AchievementTitle37,Stacking Up Gifts,كومة مكافآت,成堆礼物,禮物山,Geschenke ansammeln,Apilando recompensas,یک خروار پاداش,Les cadeaux s'entassent,מעמיס מתנות,Hadiah Ditumpuk,Accumulando regali,ギフトを積み上げる,선물 쌓기,Ajándékok Felhalmozása,Cadeau's stapelen,Tilnærmet julaften!,Stosy prezentów,Acumulando Presentes,Складывая подарки,Складаючи подарунки,Lahjojen pinoaja,Quà tặng chồng chất,Hediyeleri biriktir
AchievementDesc37,Stack 2 rewards.,كدّس 2 من المكافآت.,叠加2个奖励。,疊加2個廣告獎勵。,Staple 2 Belohnungen.,Apila 2 recompensas.,دوتا پاداش را روی هم انبار کن.,Empilez 2 récompenses.,צבור שתי מתנות.,Tumpuk 2 hadiah.,Accumula due premi.,2回分の報酬を積み重ねる。,보상을 2개 누적하세요.,Halmozz fel 2 jutalmat.,Stapel 2 beloningen.,Ha 2 aktiverte belønninger samtidig,Zdobądź 2 nagrody.,Acumular 2 recompensas.,Сложите 2 награды.,Складіть 2 нагороди.,Pino 2 palkintoa.,Chồng 2 phần thưởng liên tiếp.,2 ödül biriktir.
AchievementTitle38,Isn't It Fast Enough?,اليس هذا سريع كفاية؟,真男人就要快,真男人就要快,Ist das nicht schnell genug?,¿No te parece muy rápido?,به‌اندازه کافی سریع نیست؟,N'est-ce pas assez rapide?,זה לא מספיק מהיר?,Bukankah itu Cukup Cepat?,Non è abbastanza veloce?,これで十分速くない？,이 정도면 빠른거 아닌가요?,Nem Elég Gyors?,Is het niet snel genoeg?,Er det ikke raskt nok?,Chcesz jeszcze szybciej?,Não É Rápido O Suficiente?,Разве не достаточно быстро?,Хіба не достатньо швидко?,Eikö se ole tarpeeksi nopea,Thể chưa đủ nhanh sao?,Yeterince Hızlı Değil mi?
AchievementDesc38,Stack 5 rewards.,كدّس 5 من المكافآت.,叠加5个奖励。,疊加5個廣告獎勵。,Staple 5 Belohnungen.,Apila 5 recompensas.,پنج پاداش را روی هم انبار کن.,Empilez 5 récompenses.,צבור חמש מתנות.,Tumpuk 5 hadiah.,Accumula 5 ricompense.,5回分の報酬を積み重ねる。,보상을 5개 누적하세요.,Halmozz fel 5 jutalmat.,Stapel 5 beloningen.,Ha 5 aktiverte belønninger samtidig,Zdobądź 5 nagród.,Acumular 5 recompensas.,Сложите 5 наград.,Складіть 5 нагород.,Pinoa 5 palkintoa.,Chồng 5 phần thưởng liên tiếp.,5 ödül biriktir
AchievementCatPlayTime,Play Time,مدة اللعب,游戏时间,遊戲時間,Spielzeit,Tiempo de juego,مدت زمان بازی,Temps de jeu,זמן משחק,Waktu Bermain,Tempo di gioco,プレイ時間,플레이 시간,Játékidő,Speeltijd,Spilletid,Czas gry,Tempo de Jogo,Время в игре,Час в грі,Peliaika,Thời gian chơi,Oyun Süresi
AchievementTitle40,Free Trial,تجربة مجانية,免费试用,免費試用,Kostenlose Probezeit,Prueba gratuita,نسخه Trial,Essai gratuit,ניסיון חינם,Percobaan Gratis,Prova gratuita,体験版,무료 체험판,Ingyenes Próbaverzió,Proeftijd,Gratis prøveperiode,Wersja testowa,Teste Grátis,Демоверсия,Демоверсія,Ilmainen kokeilu,Chơi thử,Ücretsiz Deneme
AchievementDesc40,Play for 10 minutes.,إلعب لمدة 10 دقائق.,玩10分钟。,玩10分鐘。,Spiele für 10 Minuten.,Juega 10 minutos.,برای ده دقیقه بازی کنید.,Jouez pendant 10 minutes.,שחק במשך 10 דקות.,Bermain selama 10 menit.,Gioca per 10 minuti.,10分間プレイする。,10분 동안 플레이하세요.,Játssz 10 percet.,Speel voor 10 minuten.,Spill i 10 minutter.,Graj przez 10 minut.,Jogue por 10 minutos.,Проведите в игре 10 минут.,Проведіть в грі 10 хвилин.,Pelaa 10 minuuttia.,Chơi trong 10 phút.,Toplamda 10 dakika oyna.
AchievementTitle41,Junior,الصغير,初中,初中生,Unterstufe,Júnior,بچه دبستانی,Junior,ג'וניור,Muda,Scuola elementare,中学生,꼬맹이,Kezdő,Junior,Junior,Junior,Júnior,Первоклассник,Першокласник,Junior,Học sinh mẫu giáo,Ortaokullu
AchievementDesc41,Play for 30 minutes.,إلعب لمدة 30 دقيقة.,玩30分钟。,玩30分鐘。,Spiele für 30 Minuten.,Juega 30 minutos.,برای سی دقیقه بازی کنید.,Jouez pendant 30 minutes.,שחק במשך 30 דקות.,Bermain selama 30 menit.,Gioca per 30 minuti.,30分間プレイする。,30분 동안 플레이하세요.,Játssz 30 percet.,Speel voor 30 minuten.,Spill i 30 minutter.,Graj przez 30 minut.,Jogue por 30 minutos.,Проведите в игре 30 минут.,Проведіть в грі 30 хвилин.,Pelaa 30 minuuttia.,Chơi trong 30 phút.,Toplamda 30 dakika oyna.
AchievementTitle42,High School,المدرسة الثانوية.,高中,高中生,Oberstufe,Escuela secundaria,دبیرستانی,École secondaire,בית ספר תיכון,SMA,Scuola superiore,高校生,고등학교,Gimnázium,Middelbare school,Høyskole,Liceum,Colegial,Старшая школа,Старша школа,Lukio,Trường cấp ba,Liseli
AchievementDesc42,Play for one hour.,إلعب لمدة ساعة واحدة.,玩一小时。,玩1小時。,Spiele für eine Stunde.,Juega una hora.,برای یک ساعت بازی کنید.,Jouez pendant une heure.,שחק במשך שעה אחת.,Bermain selama satu jam.,Gioca per un'ora.,1時間プレイする。,한 시간 동안 플레이하세요.,Játssz egy órát.,Speel voor een uur.,Spill i èn time.,Graj przez jedną godzinę.,Jogue por 1 hora.,Проведите в игре 1 час.,Проведіть в грі 1 годину.,Pelaa yksi tunti.,Chơi trong một giờ.,Toplamda 1 saat oyna.
AchievementTitle43,Jack of All Trades,ابو العريف,万事通,萬事通,Alleskönner,Aprendiz,دانشجو,Homme à tout faire,מקצוען,Orang Yang Serba Tahu,Tuttofare,何でも屋,만물박사,Ezermester,Manusje van alles,Altmuligmann,Złota rączka,Faz-Tudo,Мастер на все руки,Майстер на всі руки,Jokapaikan Höylä,Người biết tuốt,10 Parmakta 10 Marifet
AchievementDesc43,Play for two hours.,إلعب لمدة ساعتين.,玩两小时。,玩2小時。,Spiele für zwei Stunden.,Juega 2 horas.,برای دو ساعت بازی کنید.,Jouez pendant deux heures.,שחק במשך שעתיים.,Bermain selama dua jam.,Gioca per due ore.,2時間プレイする。,2시간 동안 플레이하세요.,Játssz két órát.,Speel voor twee uur.,Spill i to timer.,Graj przez dwie godziny.,Jogue por duas horas.,Проведите в игре 2 часа.,Проведіть в грі 2 години.,Pelaa kaksi tuntia.,Chơi trong hai giờ.,Toplamda 2 saat oyna.
AchievementTitle44,Bachelor of Mathematics,بكالوريوس في الرياضيات,数学学位,數學學位,Mathe-Bachelor,Licenciado en Matemáticas,کارشناسی ریاضیات,Bachelor en mathématiques,תואר ראשון במתמטיקה,Sarjana Matematika,Laurea in Matematica,数学の学士,수학과 학사,Matek Szakos,Bachelor in de wiskunde,Bachelor i matematikk,Licencjat z matematyki,Bacharel em Matemática,Бакалавр математики,Бакалавр математики,Matematiikan Kandi,Cử nhân toán học,Matematik Mezunu
AchievementDesc44,Play for 5 hours.,إلعب لمدة 5 ساعات.,玩5小时。,玩5小時。,Spiele für 5 Stunden.,Juega 5 horas.,برای پنج ساعت بازی کنید.,Jouez pendant 5 heures.,שחק במשך 5 שעות.,Bermain selama 5 jam.,Gioca per 5 ore.,5時間プレイする。,5시간 동안 플레이하세요.,Játssz 5 órát.,Speel voor 5 uur.,Spill i 5 timer.,Graj przez 5 godzin.,Jogue por 5 horas.,Проведите в игре 5 часов.,Проведіть в грі 5 годин.,Pelaa 5 tuntia.,Chơi trong 5 giờ.,Toplamda 5 saat oyna.
AchievementTitle45,Leonhard Euler,ليونارد اويلر,莱昂哈德·欧拉,李昂哈德．尤拉,Leonhard Euler,Leonhard Euler,لئونارد اویلر,Leonhard Euler,לאונרד אוילר,Leonhard Euler,Eulero,レオンハルト・オイラー,레온하르트 오일러,Leonhard Euler,Leonhard Euler,Leonhard Euler,Leonhard Euler,Leonhard Euler,Леонард Эйлер,Леонард Ейлер,Leonhard Euler,Leonhard Euler,Leonhard Euler
AchievementDesc45,Play for 10 hours.,إلعب لمدة 10 ساعات.,玩10小时。,玩10小時。,Spiele für 10 Stunden.,Juega 10 horas.,برای ده ساعت بازی کنید.,Jouez pendant 10 heures.,שחק במשך 10 שעות.,Bermain selama 10 jam.,Gioca per 10 ore.,10時間プレイする。,10시간 동안 플레이하세요.,Játssz 10 órát.,Speel voor 10 uur.,Spill i 10 timer.,Graj przez 10 godzin.,Jogue por 10 horas.,Проведите в игре 10 часов.,Проведіть в грі 10 годин.,Pelaa 10 tuntia.,Chơi trong 10 giờ.,Toplamda 10 saat oyna.
AchievementTitle46,Alan Turing,آلان تورنغ,艾伦·图灵,艾倫·圖靈,Alan Turing,Alan Turing,آلن تورینگ,Alan Turing,אלן טיורינג,Alan Turing,Alan Turing,アラン・チューリング,앨런 튜링,Alan Turing,Alan Turing,Alan Turing,Alan Turing,Alan Turing,Алан Тьюринг,Алан Тюрінг,Alan Turing,Alan Turing,Alan Turing
AchievementDesc46,Play for 20 hours.,إلعب لمدة 20 ساعة.,玩20小时。,玩20小時。,Spiele für 20 Stunden.,Juega 20 horas.,برای بیست ساعت بازی کنید.,Jouez pendant 20 heures.,שחק במשך 20 שעות.,Bermain selama 20 jam.,Gioca per 20 ore.,20時間プレイする。,20시간 동안 플레이하세요.,Játssz 20 órát.,Speel voor 20 uur.,Spill i 20 timer.,Graj przez 20 godzin.,Jogue por 20 horas.,Проведите в игре 20 часов.,Проведіть в грі 20 годин.,Pelaa 20 tuntia.,Chơi trong 20 giờ.,Toplamda 20 saat oyna.
AchievementTitle70,Albert Einstein,آلبرت آينشتاين,阿尔伯特·爱因斯坦,阿爾伯特·愛因斯坦,Albert Einstein,Albert Einstein,آلبرت انیشتین,Albert Einstein,אלברט איינשטיין,Albert Einstein,Albert Einstein,アルバート・アインシュタイン,알버트 아인슈타인,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,Альберт Эйнштейн,Альберт Айнштайн,Albert Einstein,Albert Einstein,Albert Einstein
AchievementDesc70,Play for 40 hours.,إلعب لمدة 40 ساعة.,玩40小时。,玩40小時。,Spiele für 40 Stunden,Juega 40 horas.,برای چهل ساعت بازی کنید.,Jouez pendant 40 heures.,שחק במשך 40 שעות.,Bermain selama 40 jam.,Gioca per 40 ore.,40時間プレイする。,40시간 동안 플레이하세요.,Játssz 40 órát.,Speel voor 40 uur.,Spill i 40 timer.,Graj przez 40 godzin.,Jogue por 40 horas.,Проведите в игре 40 часов.,Проведіть в грі 40 годин.,Pelaa 40 tuntia.,Chơi trong 40 giờ.,Toplamda 40 saat oyna.
AchievementCatStars,Stars,النجوم,星,星星,Sterne,Estrellas,ستاره‌ها,Étoiles,כוכבים,Bintang,Stelle,スター,별,Csillagok,Sterren,Stjerner,Gwiazdy,Estrelas,Звезды,Зірки,Tähdet,Ngôi sao,Yıldızlar
AchievementTitle47,A Star is Born,ولادة نجم,一颗明星的诞生,一顆明星的誕生,Ein Stern wird geboren,Nace una estrella,یک ستاره متولد شده‌ است,Une étoile est née,כוכב נולד,Sebuah Bintang Telah Lahir,È nata una stella,星が生まれた,스타의 탄생,Csillag Születik,Een Ster Is Geboren,En stjerne er født,Narodziny gwiazdy,Uma Estrela Nasce,Рождение звезды,Народження зірки,Tähti on syntynyt,Ngôi sao chào đời,Bir yıldız doğdu
AchievementDesc47,Collect your first star by tapping.,إحصل على نجمتك الأولى عن طريق الضغط.,通过点击取得你的第一颗星。,通過點擊取得你的第一顆星。,Erhalte deinen Ersten Stern durch Tippen.,Obtén tu primera estrella por tocar.,اولین ستاره خود را از طریق ضربه زدن کسب کنید.,Obtenez votre première étoile en appuyant sur l'équation.,אסוף את הכוכב הראשון מלחיצה.,Dapatkan bintang pertamamu dengan mengetuk.,Raccogli la tua prima stella toccando l'equazione.,初めてタップでスターを獲得する。,탭으로 별을 획득하세요.,Szerezd meg az első csillagodat koppintással.,Krijg je eerste ster door te tikken.,Få en stjerne ved å trykke på likningen.,Zdobądź swoją pierwszą gwiazdę klikając w równanie.,Colete sua primeira estrela por tocar.,Получите свою первую звезду нажатиями.,Отримайте свою першу зірку натисканнями.,Saa ensimmäinen tähti napauttamalla.,Nhận ngôi sao đầu tiên của bạn bằng việc nhấn.,Tıklama yoluyla ilk yıldızını kazan.
AchievementTitle48,Up in the Sky,في السماء,天空之上,天空之上,Oben im Himmel,Arriba en el cielo,تو آسمان‌ها,Là-haut dans le ciel,למעלה בשמיים,Diatas Langit,Su nel cielo,天高く,하늘 위로,Fent Az Egekben,Boven In De Lucht,Blant fuglene,W niebie,Lá No Céu,Высоко в небе,Високо в небі,Taivaalla,Tít trên trời cao,Gökyüzünde
AchievementDesc48,Collect your second star by tapping.,إحصل على نجمتك الثانية عن طريق الضغط.,通过点击取得你的第二颗星。,通過點擊取得你的第二顆星。,Erhalte deinen zweiten Stern durch Tippen.,Obtén 2 estrellas por tocar.,دومین ستاره خود را از طریق ضربه زدن کسب کنید.,Obtenez votre deuxième étoile en appuyant sur l'équation.,אסוף את הכוכב השני שלך מלחיצה.,Dapatkan bintang keduamu dengan mengetuk.,Raccogli la tua seconda stella toccando l'equazone.,タップでスターを2個獲得する。,탭으로 별을 2개 획득하세요.,Szerezd meg a második csillagodat koppintással.,Krijg je tweede ster door te tikken.,Få 2 stjerner ved å trykke på likningen.,Zbierz swoją drugą gwiazdę klikając.,Colete sua segunda estrela por tocar.,Получите свою вторую звезду нажатиями.,Отримайте свою другу зірку натисканнями.,Saa toinen tähti napauttamalla.,Nhận ngôi sao thứ hai của bạn bằng việc nhấn.,Tıklama yoluyla ikinci yıldızını kazan.
AchievementTitle49,Galaxy,المجرة,星系,星系,Galaxie,Galaxia,کهکشان,Galaxie,גלקסיה,Galaksi,Galassia,銀河,은하,Galaxis,Sterrenstelsel,Galakse,Galaktyka,Galáxia,Галактика,Галактика,Galaksi,Ngân hà,Galaksi
AchievementDesc49,Collect 5 stars by tapping.,إحصل على 5 نجوم عن طريق الضغط.,通过点击取得5颗星。,通過點擊取得5顆星。,Sammle 5 Sternen durch Antippen.,Obtén 5 estrellas por tocar.,پنج ستاره از طریق ضربه زدن کسب کنید,Obtenez 5 étoiles en appuyant sur l'équation.,אסוף 5 כוכבים מלחיצה.,Kumpulkan 5 bintang dengan mengetuk.,Raccogli 5 stelle toccando l'equazione.,タップでスターを5個獲得する。,탭으로 별을 5개 획득하세요.,Szerezz 5 csillagot koppintással.,Krijg 5 sterren door te tikken.,Få 5 stjerner ved å trykke på likningen.,Zbierz 5 gwiazd klikając.,Colete 5 estrelas por tocar.,Получите 5 звезд нажатиями.,Отримайте 5 зірок натисканнями.,Saa 5 tähteä napauttamalla.,Nhận 5 ngôi sao bằng việc nhấn.,Tıklama yoluyla 5 yıldız kazan.
AchievementTitle50,Constellation,كوكبة,星座,星座,Konstellation,Constelación,صور فلکی,Constellation,קבוצת כוכבים,Konstelasi,Costellazione,星座,별자리,Csillagkép,Sterrenbeeld,Stjernebilde,Konstelacja,Constelação,Созвездие,Сузір'я,Tähtikuvio,Chòm sao,Takımyıldızı
AchievementDesc50,Collect 10 stars by tapping.,إحصل على 10 نجوم عن طريق الضغط.,通过点击取得10颗星。,通過點擊取得10顆星。,Sammeln 10 Sterne durch Antippen.,Obtén 10 estrellas por tocar.,ده ستاره از طریق ضربه زدن کسب کنید,Obtenez 10 étoiles en appuyant sur l'équation.,אסוף 10 כוכבים מלחיצה.,Kumpulkan 10 bintang dengan mengetuk.,Raccogli 10 stelle toccando l'equazione.,タップでスターを20個獲得する。,탭으로 별을 10개 획득하세요.,Szerezz 10 csillagot koppintással.,Krijg 10 sterren door te tikken.,Få 10 stjerner ved å trykke på likningen.,Zbierz 10 gwiazd klikając.,Colete 10 estrelas por tocar.,Получите 10 звезд нажатиями.,Отримайте 10 зірок натисканнями.,Saa 10 tähdet napauttamalla.,Nhận 10 ngôi sao bằng việc nhấn.,Tıklama yoluyla 10 yıldız kazan.
AchievementTitle51,Black Hole,الثقب الأسود,黑洞,黑洞,Schwarzes Loch,Agujero negro,سیاه‌چاله,Trou noir,חור שחור,Lubang Hitam,Buco nero,ブラックホール,블랙홀,Fekete Lyuk,Zwart Gat,Sort hull,Czarna dziura,Buraco Negro,Черная дыра,Чорна діра,Musta Aukko,Lỗ đen,Kara Delik
AchievementDesc51,Collect 50 stars in total.,إحصل على 50 نجوم في المجموع.,总共收集50颗星。,總共獲得50顆星。,Sammle insgesamt 50 Sterne.,Obtén 50 estrellas en total.,۵۰ ستاره در کل کسب کنید.,Obtenez un total de 50 étoiles.,אסוף 50 כוכבים בסך הכל.,Kumpulkan 50 bintang total.,Raccogli un totale di 50 stelle.,スターを合計50個獲得する。,별을 총 50개 획득하세요.,Szerezz összesen 50 csillagot.,Verzamel in totaal 50 sterren.,Få 50 stjerner samlet sett,Zbierz w sumie 50 gwiazd.,Colete 50 estrelas no total.,Получите всего 50 звезд.,Отримайте загалом 50 зірок.,Kerää 50 tähteä yhteensä.,Nhận tổng cộng 50 ngôi sao.,Toplamda 50 yıldız kazan.
AchievementTitle71,Worm Hole,الثقب الدودي,虫洞,蟲洞,Wurmloch,Agujero de gusano,کرم‌چاله,Trou de ver,חור תולעת,Lubang Cacing,Worm Hole,ワームホール,웜홀,Féregjárat,Wormgat,Ormehull,Tunel czasoprzestrzenny,Buraco de Minhoca,Червоточина,Кротовина,Madonreikä,Lỗ giun,Solucan Deliği
